,company,position,url,location,headquaters,employees,founded,industry,Job Description
42, Santander Bank,"Manager, Pricing Management Information Systems",https://www.glassdoor.com/partner/jobListing.htm?pos=211&ao=4120&s=58&guid=0000015b947710c5a45db25fdfeacb63&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cb=1492844483051&jobListingId=2013983159," Dallas, TX","Boston, MA",5001 to 10000 employees,Subsidiary or Business Segment,$500 million to $1 billion (USD) per year,"    Apply    Overview Summary of Responsibilities: The Manager Pricing MIS will be responsible for assisting the Pricing & Strategy and Profitability Teams within Decision Sciences in the execution of information gathering and reporting. Manager Pricing MIS is responsible for managing development and production of pricing reporting and supervising analysts responsible for converting existing daily, weekly, monthly and ad-hoc reports to more efficient delivery tools which includes data visualization. Supervision of a portion of the Pricing MIS team will require leadership and direction for timely internal and regulatory, ongoing and ad-hoc reporting support to Pricing & Strategy and Profitability segments within Decision Sciences. Consistency and quality of information reports along with repository management will be critical.  Essential Job Functions:  Responsible for assisting the Decision Sciences team in the design, development, implementation and production of pricing reporting needs in ongoing and ad-hoc environment Additionally responsible for managing the automation implementation process for all new reports, as appropriate, and converting existing Business as usual reports to an automated delivery process. Responsible for working with Information Technology organization, assigned consultants and existing staff to develop a governance process for converting appropriate reports to an efficient Data Visualization mechanism. Drive, adopt and develop best practices in report templates and tools Establish and manage Pricing Governance team drive location, SharePoint sites and repository of documents Assure clear, concise and objective reporting Identify and escalate issues and observations as they arise   Other Functions:  Maintain ongoing relationships with management throughout the organization and effectively manage and motivate the team Complete reviews/projects and additional work within specified timescales and in line with departmental standards Responsible for all aspects of the team member’s life cycle including, recruitment, performance management, development and coaching Ensure that all tasks are carried out with a high degree of professionalism. Daily support of junior analysts and interns relative to the production of reporting deliverables.   Requirements:  Bachelor’s degree in computer or MIS or a related field, or equivalent combination of education and experience, required. One (1) to three (3) years of previous management experience required or 3 years specific auto industry experience working in a reporting environment. Internal candidates who do not meet the stated requirements for management experience (but, are otherwise qualified) may be selected for this role contingent upon the completion of a prescribed training plan. 3 -5 years of progressively responsible experience within financial services management or MIS within a financial services institution required Expertise with PC software applications such as SQL, SAS, Excel, Word, PowerPoint, Access and Dashboards Experience with Tableau or similar data visualization tools a plus Detailed knowledge of information reporting structures (Extraction, Transformation and Loading (ETLs), Data Management, Data Warehouse, data validation models etc.) Knowledge of financial statements, accounting principles, Credit Policy, applicable laws and industry data sources. Dedication to information integrity and accurate reporting Excellent analytical, technical and problem solving skills, with strong attention to detail Ability to effectively explain to others how to understand and approach complicated issues Exceptional verbal and written communication, collaboration, and time management skills Possess strong leadership skills with focus on development and mentorship Ability to adapt to various work environments and project schedules Ability to work effectively in a team environment with all levels of personnel Self-directed with ability to multitask and prioritize Ability to maintain strict confidentiality Superior leadership and organizational skills Strategic and tactical thinker   Working Conditions:  Extended working hours may be required as dictated by management and business needs. Travel to multiple facilities may be required. May be required to lift, push, or pull materials weighing up to twenty (20) pounds. May be required to sit and review information on a computer screen for long periods of time. May require repetitive motions of the hands and wrist related to writing and typing at an electronic keyboard. Corporate / satellite office role.   Employer’s Rights: This job description does not list all the duties of the job. You may be asked by your supervisors or managers to perform other duties. You will be evaluated in part based upon your performance of the tasks listed in this job description. The employer has the right to revise this job description at any time. This job description is not a contract for employment, and either you or the employer may terminate employment at any time, for any reason."
43, CoreLogic,"Intern, Product Management",https://www.glassdoor.com/partner/jobListing.htm?pos=212&ao=25074&s=58&guid=0000015b947710c5a45db25fdfeacb63&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cb=1492844483052&jobListingId=2398595976," Irving, TX","Irvine, CA",5001 to 10000 employees,2010,Media," Join the team that powers the global real estate economy - CoreLogic is an innovative, future focused company whose vision is to deliver unique property-level insights that power the global real estate economy. We are a $1.5 billion in sales company with more than 6,000 employees globally serving the financial services and insurance industries. We are evolving at a rapid pace and the clients we serve are challenged from every direction, which means we are growing and innovating to help drive their success. Working together, and differentiated by our superior data, analytics and data-enabled solutions, we empower our clients to make smarter business decisions through data-driven insights. We take initiative, are fully accountable, build respect and trust, make transparency a must-and engage, include and collaborate at every turn.  We take pride in our work and believe in cultivating a work environment that supports and values our greatest asset: our talented employees.  The CoreLogic Summer Internship Program is designed to provide students with the opportunity to integrate their knowledge, capabilities and academic learnings with practical business experience and skill development at CoreLogic, a leading data, analytics and services organization. The Summer Intern engages on meaningful short-term projects that contribute to CoreLogic business objectives, as well as foster the development of skills and capabilities that support the growth of the organization. Posting Job Description  Job Duties  Assist Market Lead in the Insurance and Spatial business unit to drive R&D and Product Development initiatives around pricing, competitive analysis, product requirements and go-to-market process improvements.  Receives general supervision and guidance from more experienced team members.  Follows department processes, procedures and client requirements; may make recommendations and/or implement improvements/solutions.  Utilizes tools to compile, query and analyze data according to defined business roles and procedures. May produce reports from various data sources (external and internal) to provide business stakeholders actionable information or business intelligence.  Tracks project information, follows up on issue status, resolves routine issues, reports status to management.  Participates in Internship Program activities and events to include: onboarding, educational activities, information sessions, product demos and social events.  Provides general administrative support as needed.  Participates in special projects and performs other duties as required.  Posting Job Requirements  Education, Experience and Knowledge  Currently enrolled in a bachelor's or master's degree program pursuing a related degree at an accredited 4-year college or university in Business, Economics or related.  Minimum of two years of relevant coursework completed  Minimum 3.0 cumulative collegiate grade point average, on a 4.0 scale or the equivalent  Prior internship or co-op experience preferred  Participation in campus activities related to field preferred  Demonstrated leadership experience through participation in on-campus activities, educational forums and/or prior work experience  Skills  Ability to learn and maintain knowledge of processes, procedures and products of [assigned area]  Ability to work within a cross-functional team and matrix management structure  Strong written and verbal communication skills  Strong customer service orientation; strong interpersonal abilities  Solid analytical capability; ability to exercise sound judgment; strong decision making skills  Strong attention to detail; high degree of quality orientation  Strong organization and prioritization skills; ability to perform multiple tasks and meet deadlines in a fast-paced dynamic environment  Ability to take direction from multiple people; ability to flex to the work styles of others  Ability to be a collaborative team player in a fast paced/changing environment; self-motivated and directed  Solid project management capabilities; strong business acumen; strong fiscal aptitude  Strong technical aptitude  Proficiency in Microsoft Office software applications, such as Word, Excel, Access, Project and PowerPoint  CoreLogic offers an empowered work environment that encourages creativity, initiative and professional growth. CoreLogic is an Equal Employment Opportunity/ Affirmative Action Employer and maintains a Drug-Free Workplace."
44, Federal Reserve Bank,Treasury Services Analyst Internship,https://www.glassdoor.com/partner/jobListing.htm?pos=213&ao=189300&s=58&guid=0000015b947710c5a45db25fdfeacb63&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cb=1492844483054&jobListingId=2363590209," Dallas, TX","New York, NY",1001 to 5000 employees,1914,Finance," ORGANIZATIONAL SUMMARY:  As part of the nation's central bank, the Federal Reserve Bank of Dallas is committed to strengthening the economy and our communities. At the Fed, you have the opportunity to become part of an important public service institution whose work touches lives across the globe. It's a big job and that's why we need talented, results-driven professionals who care about making a difference.  POSITION SUMMARY:  As a Treasury Services intern in the Federal Reserve Bank of Dallas Treasury Services Department, you will regularly apply analytical, problem solving, written and interpersonal skills. You will have the opportunity to expand your knowledge of project and operations management, process improvement, and learn the various areas in a team environment.  RESPONSIBILITIES:  * Organize department training data into a usable outline for an electronic handbook  * Examine unstructured data to identify what should be deleted or retained  * Assist with physical inventory and organization of storage areas  * Analyze process for patching computers to maintain security controls  * Automate reporting of vendor scorecards  * Utilize creativity in designing marketing materials  * Work on ad hoc assignments, as requested  * Participate in meetings and trainings, as assigned  EDUCATION AND EXPERIENCE:  * Strong writing skills, including the ability to write clearly, correctly, and concisely  * Ability to analyze problems and inquiries  * Ability to prioritize tasks and projects to meet business needs in a logical sequence  * Ability to maintain flexibility and adapt to changes in the business environment  * Ability to work under general guidance on broad assignments. Ability to take direction easily, interpret directives and execute in an efficient manner  * Highly organized and detail oriented  * Adheres to a high standard of core values and ethics that align with the organization. Maintains high integrity and trust  * Strong interpersonal and oral communication skills, including speaking clearly and confidently when communicating with all levels of stakeholders from support staff to senior level executives  * Proficient in the use of personal computers and various software packages, including MS SharePoint, Word, Excel and PowerPoint  * Currently enrolled in college and seeking a qualifying degree such as a Bachelor's degree in Business Administration, or other related field  * Prior knowledge of principles and practices of business, operations management, and project management through coursework and/or practical experience  WORK HOURS AND CONDITIONS:  40 hours Monday Friday (8:00-5:00 pm). Overtime may be required on an as needed basis  This is a security sensitive position. By federal law, this position requires that candidates be a U.S. citizen.  We are proud to be an equal opportunity employer  .Posted by StartWireApply"
45, CoreLogic,"Intern, Pricing Analyst",https://www.glassdoor.com/partner/jobListing.htm?pos=214&ao=25074&s=58&guid=0000015b947710c5a45db25fdfeacb63&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cb=1492844483055&jobListingId=2398595843," Irving, TX","Irvine, CA",5001 to 10000 employees,2010,Media," Join the team that powers the global real estate economy - CoreLogic is an innovative, future focused company whose vision is to deliver unique property-level insights that power the global real estate economy.We are a $1.5 billion in sales company with more than 6,000 employees globally serving the financial services and insurance industries. We are evolving at a rapid pace and the clients we serve are challenged from every direction, which means we are growing and innovating to help drive their success. Working together, and differentiated by our superior data, analytics and data-enabled solutions, we empower our clients to make smarter business decisions through data-driven insights. We take initiative, are fully accountable, build respect and trust, make transparency a must-and engage, include and collaborate at every turn.We take pride in our work and believe in cultivating a work environment that supports and values our greatest asset: our talented employees.The CoreLogic Summer Internship Program is designed to provide students with the opportunity to integrate their knowledge, capabilities and academic learnings with practical business experience and skill development at CoreLogic, a leading data, analytics and services organization. The Summer Intern engages on meaningful short-term projects that contribute to CoreLogic business objectives, as well as foster the development of skills and capabilities that support the growth of the organization.Posting Job Description Job DutiesUse analytics and data mining to conduct detailed analysis to support strategic pricing initiatives.Develop key metrics and methodologies to measure strategy effectiveness.Identify areas where the Pricing Operations may add value and/ or improve our Pricing and Quoting processes and enhance overall effectiveness of the departmentDevelop ad-hoc financial models, deal structure/commercial models, and pricing/quoting models.Receives general supervision and guidance from more experienced team members.Follows department processes, procedures and client requirements; may make recommendations and/or implement improvements/solutions.Utilizes tools to compile, query and analyze data according to defined business roles and procedures. May produce reports from various data sources (external and internal) to provide business stakeholders actionable information or business intelligence.Tracks project information, follows up on issue status, resolves routine issues, reports status to management.Participates in Internship Program activities and events to include: onboarding, educational activities, information sessions, product demos and social events.Provides general administrative support as needed.Participates in special projects and performs other duties as required. Posting Job Requirements Education, Experience and KnowledgeCurrently enrolled in a bachelor's or master's degree program pursuing a related degree at an accredited 4-year college or universityMinimum of two years of relevant coursework completedMinimum 3.0 cumulative collegiate grade point average, on a 4.0 scale or the equivalentPrior internship or co-op experience preferredParticipation in campus activities related to field preferredDemonstrated leadership experience through participation in on-campus activities, educational forums and/or prior work experienceSkillsAbility to learn and maintain knowledge of processes, procedures and products of pricing analysisAbility to work within a cross-functional team and matrix management structureStrong written and verbal communication skillsStrong customer service orientation; strong interpersonal abilitiesSolid analytical capability; ability to exercise sound judgment; strong decision making skillsStrong attention to detail; high degree of quality orientationStrong organization and prioritization skills; ability to perform multiple tasks and meet deadlines in a fast-paced dynamic environmentAbility to take direction from multiple people; ability to flex to the work styles of othersAbility to be a collaborative team player in a fast paced/changing environment; self-motivated and directedSolid project management capabilities; strong business acumen; strong fiscal aptitudeStrong technical aptitudeProficiency in Microsoft Office software applications, such as Word, Excel, Access, Project and PowerPointCoreLogic offers an empowered work environment that encourages creativity, initiative and professional growth. CoreLogic is an Equal Employment Opportunity/ Affirmative Action Employer and maintains a Drug-Free Workplace."
46, HMS Holdings,Data Scientist - Intern,https://www.glassdoor.com/partner/jobListing.htm?pos=215&ao=3839&s=58&guid=0000015b947710c5a45db25fdfeacb63&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cb=1492844483057&jobListingId=2284791329," Irving, TX","Irving, TX",1001 to 5000 employees,1974,Health Care," Real-world Experience. Life-long Connections. Intern With Us.Team up with seasoned healthcare technology professionals to expand your real-world knowledge base. Spend 12 weeks that will make a lifetime of difference, while interacting with other interns.The Data Scientist Intern will work in the IT COB Apps team. We are looking for an individual pursing a degree in Information Technology, Computer Engineering, Computer Science, Engineering Technology, MIS, Management, or a related major. Below is a summary of duties that an intern can expect to perform while working with their mentor this summer at HMS.This internship would allow you understand healthcare cost containment strategies by providing application development and support for HMS products/programs, which cater the needs of State, Federal and Commerical agencies. Would primarily focus on understanding the requirement, developing, testing and deploying application suite to support new or existing HMS products. This role would give the platform to gain experience on Application development using ETL, MDM, SaaS methologies with technology focus on Pattern Recognition, Identity Matching, Machine Learning and Big Data. Specific duties include:Work with IT COB Apps team to develop state of the art of HMS matching engineUse the latest technologies, analytical and data science methods (regression, clustering, classification, text analysis) to real world datasets to solve ongoing business problemsCollaborate with cross functional teams and publish results to key business partners Languages: Scala, Python, Java, SQL. (Combinations of these skills are very useful)A basic understanding of statistical modeling (linear regression, logistic regression, clustering)An ability to think abstractly and work cross functionallyStrong communication and presentation skillsA desire to evolve excellent problem solving skills; meticulous and methodical"
47, IBM,Technical Solution Specialist Intern – IBM Summit Summer,https://www.glassdoor.com/partner/jobListing.htm?pos=216&ao=140152&s=58&guid=0000015b947710c5a45db25fdfeacb63&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cb=1492844483059&jobListingId=1944488912," Dallas, TX","Armonk, NY",10000+ employees,1911,Business Services," The IBM US Sales & Distribution team is seeking highly talented undergraduate level students, with a passion for technology and sales to fill Technical Solution Specialist Internship roles. At IBM, our clients have the future in mind and your job is to help them get there. As part of IBM’s sales team, you will work with clients as they transform organizations and entire industries. We’re driven by more than just selling solutions. We want our clients to succeed. IBMers can access our entire organization to develop original ideas that help clients create the world they imagine.This is a summer 2017 position. Applicants should be a rising Junior or rising Senior student pursuing a degree in the areas of Computer Engineering, Computer Science, Data Science, Electrical Engineering, Information Technology or similar disciplines. Intern positions are located in major cities across the US.IBM Technical Solution Specialist Interns are technical sales professionals guided by IBM’s purpose – to be essential to its clients. They actively engage clients to develop the trust and credibility to help them grow their businesses by solving strategic and tactical business problems with IBM’s proven cognitive and cloud technology solutions. IBM Technical Solution Specialists deliver industry centric business solutions to clients of all sizes and markets. During your internship you will work directly with sales professionals with opportunities at client sites and contribute to the day-to-day sales operations of the team. You will gain an understanding of IBM sales practices as well as knowledge about IBM's products in order to help develop business solutions for clients. You will shadow sales representatives on client engagements. Additionally, you will have the opportunity to network throughout all levels of the robust IBM organization, which will enable you to form contacts and gain insights on future opportunities within IBM. You will work with any of the following business units: Analytics, Cognitive Solutions, Cloud, Commerce, Internet of Things, Security, Social, Systems Hardware, or Systems Software. As a Technical Solution Specialist Intern, you will be part of the client account team and drive revenue through in-depth, complex technical demonstrations, designing solutions, technical evaluations, and/or proof-of-concepts. Please note; this is not an exclusive hands-on, coding or development job. This job will involve technical consulting with clients and helping clients design technical solutions.If you would like additional information about the Summit program please visit:http://www-03.ibm.com/employment/summit/Please Note: Candidate must have Legal authorization to work in US. Sponsorship for employment visa status will not be provided"
48, Atos UK ,Intern - Data Engineer,https://www.glassdoor.com/partner/jobListing.htm?pos=217&ao=4120&s=58&guid=0000015b947710c5a45db25fdfeacb63&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cb=1492844483060&jobListingId=2346792925," Dallas, TX","London, United Kingdom",10000+ employees,1997,Information Technology," Job Details Intern - Data Engineer US - TEXAS - DALLAS, US - TEXAS, USA  Apply for this job  Reference no. 231410 Country USA Region US - TEXAS City US - TEXAS - DALLAS Position Type Student Job Area IT Support Job Type Part Time Company Atos  Company Information  Atos is a leader in digital services with annual revenue of € 12 billion and 100,000 employees in 72 countries. Serving a global client base, Atos offers Consulting & Systems Integration, Managed Services & BPO, Cloud, Big Data & Cyber-security solutions. With deep technology expertise and industry knowledge, Atos works with clients across many business sectors: Defense, Financial Services, Health, Manufacturing, Media, Utilities, Public Sector, Retail, Telecommunications, and Transportation.Atos is focused on business technology that powers progress and helps organizations to create their firm of the future. In addition, Atos is the Worldwide Information Technology Partner for the Olympic & Paralympic Games and operates under the brands Atos, Bull, Canopy, Unify and Worldline. Atos offers a broad professional perspective and the opportunity to build a rewarding career across either the technical or business paths. With our worldwide presence and our broad range of professional services, Atos provides training programs across all our competencies and markets worldwide for employees in all stages of their career. In addition, we offer programs that are focused on engaging and developing people who are at the beginning of their career through internships and graduate opportunities.    For more information, please see the Atos corporate web site: www.atos.net.   Atos is an EEO employer, providing employment opportunity regardless of race, color, religion, sex, age, national origin veteran status, disability or other factors protected by law.  Job Description   Data Engineer Intern – Automatic Report Creation This project requires ingesting and integrating structured / unstructured data (from various sources, e.g., pdf, word, excel files, pictures, etc.) in a data lake / cloud environment. Queries will need to be written to extract data that will be used to (1) to display selected data features on a dashboard and (2) create reports in pre-specified format. The process should be automated so that users can generate defect free reports in various pre-specified formats.  Job Requirements  Degree in Engineering or Computer ScienceExperience in Big Data, Data Management, Metadata Management, Data Integration Technologies – Hadoop, ElasticSearch, Logstash, etc; Experience in Visual Analytics Tools such as Tibco, Jaspersoft, QlikView, etc.Knowledge of Text Mining, Indexing, Query languages, NoSQL. Java, C#, etc.     Apply for this job Back to search results "
49, ADP,2017 Fall Internship,https://www.glassdoor.com/partner/jobListing.htm?pos=218&ao=132959&s=58&guid=0000015b947710c5a45db25fdfeacb63&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cb=1492844483062&jobListingId=2379157917," Dallas, TX","Roseland, NJ",10000+ employees,1949,Business Services," 2017 Fall Internship Req Number: 136218 Category: Intern/Co-Op Work Location: Dallas, TX Posted Date: April 3, 2017 Apply   ADP is hiring an intern. In this position you will contribute to project-based deliverables aligned to your field of study. You will interact with professionals who will guide and support you as you enhance your skills while gaining relevant experience.  As a Service team intern, you will contribute to project-based deliverables aligned to your field of study. You will interact with professionals who will guide and support you to enhance your professional skills while gaining relevant experience in a business environment. You will acquire knowledge of industry methods to provide exceptional customer service to support internal and external clients and maximize their use of our business solutions. As an Implementation team intern, you will contribute to project-based deliverables aligned to your field of study to combine analytical and project management skills with the ability to simplify complex information — to help clients develop the skills and confidence to use our business management solutions with ease. You get to provide the expert training that makes our workforce solutions stand out in an increasingly competitive global marketplace.  Unlock Your Career Potential: Internships at ADP.At ADP we are driven by your success. We engage your unique talents and perspectives. We welcome your ideas on how to do things differently and better. In your efforts to achieve, learn and grow, we support you all the way. If success motivates you, you belong at ADP. We strive for every interaction to be driven by our CORE values: Insightful Expertise, Integrity is Everything, Service Excellence, Inspiring Innovation, Each Person Counts, Results-Driven, & Social Responsibility. QUALIFICATIONS REQUIRED: We are seeking students with drive and motivation, who desire real corporate experience and want to make a valuable contribution to ADP:   Must be a matriculated college student, GPA of 3.0 or higher preferred     PREFERRED QUALIFICATIONS:Preference will be given to candidates who have the following qualifications:  Completed at least 3 years of a 4 year degree program Knowledge of Microsoft Office Suite (Word, Excel, PowerPoint) Excellent communication (verbal, written and reporting) skills Able to demonstrate attention to detail, superb organizational and follow up skills Ability to work effectively under time constraints while maintaining a positive service attitude Exhibits leadership skills and works well in a collaborative environment Proactive, can-do attitude and a desire to learn Ability to recognize and deal appropriately with sensitive and confidential information Proficiency in finding information on the internet Aptitude towards organizing projects, multi-tasking Quantitative, analytical, process and troubleshooting skills Project management, analysis and research skills Ability to interact with all levels of the organization Preferred areas of concentration: Information Technology, Management Information Systems, Business Management Knowledge of information security, information technology systems, infrastructure and operations is helpful. Ability to organize data, analyze data and produce reports  Related Searches: Intern, Internship, College, Resume, Interview, Job Description, Position, Jobs, Work, Opportunity, University, co-op, campus, ADP, project management, collaboration  Software in the Cloud. Experts on the Ground: ADP powers the working world with comprehensive solutions that drive business success. Consistently named one of the “Most Admired Companies” by FORTUNE® Magazine, and recognized by Forbes® as one of “The World’s Most Innovative Companies,” ADP has over a half-million clients around the globe and 65 years of experience as one of the largest providers of human capital management solutions world-wide. At ADP, we believe that diversity fuels innovation. ADP is committed to equal employment opportunities regardless of race, color, genetic information, creed, religion, sex, sexual orientation, gender identity, lawful alien status, national origin, age, marital status, non-job related physical or mental disability, or protected veteran status. We support an inclusive workplace where associates excel based on personal merit, qualifications, experience, ability, and job performance."
50, Nationstar Mortgage,Intern - Marketing Associate,https://www.glassdoor.com/partner/jobListing.htm?pos=219&ao=136635&s=58&guid=0000015b947710c5a45db25fdfeacb63&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cb=1492844483063&jobListingId=2380091206," Dallas, TX","Dallas, TX",5001 to 10000 employees,1994,Finance,"  Role and Responsibilities Marketing Associate interns will undergo a full spectrum marketing experience with emphasis on project management. Candidates should have strong organizational skills and solid math ability. Proficiency in Microsoft Office, particularly Outlook and Excel, will be essential. Experience with ExactTarget, SurveyMonkey, Google Analytics, HTML coding and SQL is highly desirable. Areas of learning include the following: •Qualitative and Quantitative Marketing Research of Portfolio Customers •The Consumer Brand Experience •Regulatory Entities and Compliance •Direct Mail Strategy and Execution •Email Marketing •Digital Media Channels •Marketing Analytics and Optimization   Each Marketing Associate Intern will be responsible for the following deliverables as specified in the project outline. •Provide a summary of data collected from research analysis •Read the book, “The 5 Dysfunctions of a Team” and participate in related discussions •Conduct a cost benefit analysis/vendor justification •Complete a case study •Participate in call monitoring  Why should the ideal intern should choose this departement for their summer internship? 1. Multi-Channel Experience – Gain integrated multi-channel marketing skills across a wide spectrum of highly-targeted media: digital display, social media, DRTV, direct mail, email, sponsorships, event marketing and various traditional media. 2. Regulatory Environment Experience – Acquire a solid overview and fundamental grasp of the legal landscape governing the marketing of consumer products, including intricate compliance procedures. 3. Rebrand Experience – The timing of this internship offers a rare opportunity to participate in the planning and launch of a new brand, complete with internal/external communications and step-by-step marketing strategies. Marketing Associate Interns will perform at the heart of a dynamic, fast-moving, result-oriented marketing organization offering practical learning opportunities. The internship will hone skills in understanding consumer attitudes and behavior, product development, brand building, marketing communications tactics, target audience analysis, plus the coordination and integration of internal and external marketing resources. Most important, Marketing Associate Interns will experience the real word results of their efforts on a daily basis.              "
51, CoreLogic,Summer Internship - Sales Workflow & Procedures,https://www.glassdoor.com/partner/jobListing.htm?pos=220&ao=25074&s=58&guid=0000015b947710c5a45db25fdfeacb63&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cb=1492844483065&jobListingId=2398595998," Irving, TX","Irvine, CA",5001 to 10000 employees,2010,Media," Join the team that powers the global real estate economy - CoreLogic is an innovative, future focused company whose vision is to deliver unique property-level insights that power the global real estate economy.We are a $1.5 billion in sales company with more than 6,000 employees globally serving the financial services and insurance industries. We are evolving at a rapid pace and the clients we serve are challenged from every direction, which means we are growing and innovating to help drive their success. Working together, and differentiated by our superior data, analytics and data-enabled solutions, we empower our clients to make smarter business decisions through data-driven insights. We take initiative, are fully accountable, build respect and trust, make transparency a must-and engage, include and collaborate at every turn.We take pride in our work and believe in cultivating a work environment that supports and values our greatest asset: our talented employees.The CoreLogic Summer Internship Program is designed to provide students with the opportunity to integrate their knowledge, capabilities and academic learnings with practical business experience and skill development at CoreLogic, a leading data, analytics and services organization. The Summer Intern engages on meaningful short-term projects that contribute to CoreLogic business objectives, as well as foster the development of skills and capabilities that support the growth of the organization.Posting Job Description Job DutiesGains exposure to existing employee processes around on-boarding, sales fulfillment, and documentation in order to document standard operating procedures and design workflow maps.Looks for general inefficiencies and suggests process improvementsReceives general supervision and guidance from more experienced team members.Follows department processes, procedures and client requirements; may make recommendations and/or implement improvements/solutions.Utilizes tools to compile, query and analyze data according to defined business roles and procedures. May produce reports from various data sources (external and internal) to provide business stakeholders actionable information or business intelligence.Tracks project information, follows up on issue status, resolves routine issues, reports status to management.Participates in Internship Program activities and events to include: onboarding, educational activities, information sessions, product demos and social events.Provides general administrative support as needed.Participates in special projects and performs other duties as required. Posting Job Requirements Education, Experience and KnowledgeCurrently enrolled in a bachelor's or master's degree program pursuing a related degree at an accredited 4-year college or universityMinimum of two years of relevant coursework completedMinimum 3.0 cumulative collegiate grade point average, on a 4.0 scale or the equivalentPrior internship or co-op experience preferredParticipation in campus activities related to field preferredDemonstrated leadership experience through participation in on-campus activities, educational forums and/or prior work experienceSkills Ability to learn and maintain knowledge of processes, procedures and products of enterprise salesFamiliar with creating process and workflow mapsDetail oriented and able to to fully document fulfillment processesPassion for uncovering inefficienciesAbility to work within a cross-functional team and matrix management structureStrong written and verbal communication skillsStrong customer service orientation; strong interpersonal abilitiesSolid analytical capability; ability to exercise sound judgment; strong decision making skillsStrong attention to detail; high degree of quality orientationStrong organization and prioritization skills; ability to perform multiple tasks and meet deadlines in a fast-paced dynamic environmentAbility to take direction from multiple people; ability to flex to the work styles of othersAbility to be a collaborative team player in a fast paced/changing environment; self-motivated and directedSolid project management capabilities; strong business acumen; strong fiscal aptitudeStrong technical aptitudeProficiency in Microsoft Office software applications, such as Word, Excel, Access, Project and PowerPointCoreLogic offers an empowered work environment that encourages creativity, initiative and professional growth. CoreLogic is an Equal Employment Opportunity/ Affirmative Action Employer and maintains a Drug-Free Workplace."
52, Atos UK ,Intern - Data Scientist,https://www.glassdoor.com/partner/jobListing.htm?pos=221&ao=4120&s=58&guid=0000015b947710c5a45db25fdfeacb63&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cb=1492844483066&jobListingId=2346793057," Dallas, TX","London, United Kingdom",10000+ employees,1997,Information Technology," Job Details Intern - Data Scientist US - TEXAS - DALLAS, US - TEXAS, USA  Apply for this job  Reference no. 231408 Country USA Region US - TEXAS City US - TEXAS - DALLAS Position Type Student Job Area IT Support Job Type Part Time Company Atos  Company Information  Atos is a leader in digital services with annual revenue of € 12 billion and 100,000 employees in 72 countries. Serving a global client base, Atos offers Consulting & Systems Integration, Managed Services & BPO, Cloud, Big Data & Cyber-security solutions. With deep technology expertise and industry knowledge, Atos works with clients across many business sectors: Defense, Financial Services, Health, Manufacturing, Media, Utilities, Public Sector, Retail, Telecommunications, and Transportation.Atos is focused on business technology that powers progress and helps organizations to create their firm of the future. In addition, Atos is the Worldwide Information Technology Partner for the Olympic & Paralympic Games and operates under the brands Atos, Bull, Canopy, Unify and Worldline. Atos offers a broad professional perspective and the opportunity to build a rewarding career across either the technical or business paths. With our worldwide presence and our broad range of professional services, Atos provides training programs across all our competencies and markets worldwide for employees in all stages of their career. In addition, we offer programs that are focused on engaging and developing people who are at the beginning of their career through internships and graduate opportunities.    For more information, please see the Atos corporate web site: www.atos.net.   Atos is an EEO employer, providing employment opportunity regardless of race, color, religion, sex, age, national origin veteran status, disability or other factors protected by law.  Job Description  The intern will be expected to assist a data scientist in development of analytical models for Predictive Maintenance of Equipment for Asset-intensive Industries. This could include use of data mining / machine learning methods, reliability analysis, simulation and optimization.   Job Requirements  Enrolled in Master’s degree or Ph.D. in Mechanical, Industrial Engineering, Computer Science or equivalent Good knowledge of Data Mining Methods, Big Data Analytics, Cloud Computing, Quality & Reliability Engineering Some Experience in predictive maintenance, product engineering or manufacturing operations     Apply for this job Back to search results "
